rollup_timestamp	database	value
2018-12-13	8237bf33-d19c-4910-9206-c6d43f0b498f	507.0
2018-12-14	8237bf33-d19c-4910-9206-c6d43f0b498f	542.0
2018-12-15	8237bf33-d19c-4910-9206-c6d43f0b498f	555.0
2018-12-16	8237bf33-d19c-4910-9206-c6d43f0b498f	534.0
2018-12-17	8237bf33-d19c-4910-9206-c6d43f0b498f	917.0
2018-12-18	8237bf33-d19c-4910-9206-c6d43f0b498f	644.0
2018-12-19	8237bf33-d19c-4910-9206-c6d43f0b498f	666.0
2018-12-20	8237bf33-d19c-4910-9206-c6d43f0b498f	543.0
2018-12-21	8237bf33-d19c-4910-9206-c6d43f0b498f	503.0
2018-12-22	8237bf33-d19c-4910-9206-c6d43f0b498f	596.0
2018-12-23	8237bf33-d19c-4910-9206-c6d43f0b498f	328.0
2018-12-24	8237bf33-d19c-4910-9206-c6d43f0b498f	539.0
2018-12-25	8237bf33-d19c-4910-9206-c6d43f0b498f	776.0
2018-12-26	8237bf33-d19c-4910-9206-c6d43f0b498f	638.0
2018-12-27	8237bf33-d19c-4910-9206-c6d43f0b498f	498.0
2018-12-28	8237bf33-d19c-4910-9206-c6d43f0b498f	534.0
2018-12-29	8237bf33-d19c-4910-9206-c6d43f0b498f	535.0
2018-12-30	8237bf33-d19c-4910-9206-c6d43f0b498f	556.0
2018-12-31	8237bf33-d19c-4910-9206-c6d43f0b498f	489.0
2019-01-01	8237bf33-d19c-4910-9206-c6d43f0b498f	685.0
2019-01-02	8237bf33-d19c-4910-9206-c6d43f0b498f	782.0
2019-01-03	8237bf33-d19c-4910-9206-c6d43f0b498f	556.0
2019-01-04	8237bf33-d19c-4910-9206-c6d43f0b498f	484.0
2019-01-05	8237bf33-d19c-4910-9206-c6d43f0b498f	626.0
2019-01-06	8237bf33-d19c-4910-9206-c6d43f0b498f	492.0
2019-01-07	8237bf33-d19c-4910-9206-c6d43f0b498f	563.0
2019-01-08	8237bf33-d19c-4910-9206-c6d43f0b498f	645.0
2019-01-09	8237bf33-d19c-4910-9206-c6d43f0b498f	692.0
2019-01-10	8237bf33-d19c-4910-9206-c6d43f0b498f	483.0
2019-01-11	8237bf33-d19c-4910-9206-c6d43f0b498f	554.0
2019-01-12	8237bf33-d19c-4910-9206-c6d43f0b498f	544.0
2019-01-13	8237bf33-d19c-4910-9206-c6d43f0b498f	538.0
